1724332813080|6|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724332813985|888|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724332814720|705|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724332833484|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724332833485|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724332833488|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724332857443|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724332857445|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724332857447|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724333405179|5|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724333405215|21|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724333405252|21|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724333417687|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724333417689|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724333417692|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724333424662|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724333424663|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724333424666|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724333425071|1|statement|connection 1|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724333531517|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724333531519|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724333531522|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724333842948|8|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724333843009|44|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724333843122|97|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724474911061|6|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724474911203|125|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724474911219|2|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724474968702|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724474968706|3|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724474968710|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724475037798|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724475037803|3|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724475037804|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724475285626|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724475285628|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'smallfish')
1724475285630|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'smallfish')
1724475778072|6|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724475778090|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'admin')
1724475778107|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'admin')
1724475778262|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'admin')
1724475778265|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'admin')
1724475782351|1|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT 1|SELECT 1
1724475782352|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = ?)|SELECT  id,username,password,create_time,update_time,is_deleted  FROM t_user     WHERE (username = 'admin')
1724475782354|0|statement|connection 0|url jdbc:p6spy:mysql://192.168.117.50:3306/weblog?useUnicode=true&characterEncoding=utf-8&autoReconnect=true&useSSL=false&zeroDateTimeBehavior=convertToNull|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = ?)|SELECT  id,username,role,create_time  FROM t_user_role     WHERE (username = 'admin')
